country,gdp_per_capita,urbanization_rate,industry_share,agriculture_share,secondary_gross_enrollment_rate,tertiary_gross_enrollment_rate,population_growth,youth_dependency_ratio,internet_penetration,electricity_access,inflation_rate,trade_percent_gdp,fdi_inflow,credit_to_private_sector,remittances_percent_gdp,govt_consumption_percent_gdp,gross_savings_percent_gdp,services_share,adult_literacy_rate,life_expectancy_at_birth,fertility_rate,primary_gross_enrollment_rate,age_dependency_ratio,old_age_dependency_ratio,fixed_broadband_subscriptions_per_100,mobile_cellular_subscriptions_per_100,real_interest_rate,export_volume_index,external_debt_percent_gni,govt_expenditure_on_education_percent_gdp,tax_revenue_percent_gdp,fiscal_balance_percent_gdp,broad_money_percent_gdp,gross_capital_formation_percent_gdp,electricity_consumption_kwh_per_capita,renewable_energy_consumption_percent,fossil_fuel_energy_consumption_percent,international_tourism_receipts_usd,international_tourism_receipts_percent,trade_in_services_percent_gdp,year
Bangladesh,1050.39140404066,31.993,25.3099593902625,16.1775631732753,53.6534004211426,13.667537689209,0.958355912717609,52.8555590168163,5.0,65.5,6.21750422069284,48.1109227490467,1.18850391920184,43.0006693750914,10.5915144036117,5.03934251857421,40.5995794494189,53.1515772385279,58.0,68.989,2.263,81.39587211830789,60.0398362395264,7.18427722271008,0.387219,63.89610407,5.3433326587313,73.209091247,20.1641903015642,2.04667067527771,9.02456269019499,-0.1373990191993,60.7424608294873,28.2623350097187,276.694215863057,37.3,73.35,105000000.0,0.380558123033202,6.1998911230736,2012
Bangladesh,995.579947155662,31.225,25.0452996007551,16.8099867573503,51.5034958279718,13.5724172592163,0.908525895582217,54.1002241468439,4.5,59.6,11.3951651552399,47.4208498356898,0.983399364184761,42.4702411629772,9.38598047897987,5.0974466876342,38.059489785547,53.045792114203,59.0,68.499,2.309,81.39587211830789,61.0979549461299,6.9977307992859,0.305031,56.1667898,5.06419768574575,72.6753852643,19.4870042621521,2.13269996643066,8.68592470557816,-0.822744381919415,59.8117683130297,27.4209733686034,258.882228287795,38.4,72.03,97000000.0,0.359391213996615,6.00557786935067,2011
Bangladesh,943.66422864236,30.462,24.9564767264585,17.0011812592919,51.1863395008042,8.588340140524366,0.876530534249878,55.1510085037134,3.7,55.3,8.12667639169917,37.8028426708321,1.06896766308322,40.9613226292342,9.41241447446753,5.07532583559895,38.7817739319855,53.4982962820487,60.51090672810872,68.009,2.38,99.7353480605127,61.9686828582303,6.81767435451691,0.272381,45.77354649,4.73612356896119,62.3878613812,21.3233746649766,1.7326391206847298,7.83468474946733,-0.813674182832758,58.7459016095395,26.2466561760577,239.944314522424,40.3,71.15,103000000.0,0.475652503421882,5.92860360165761,2010
Bangladesh,901.729626251937,29.709,25.2955721814431,17.1046290519632,49.7341003417969,10.8163499832153,0.931892491457971,56.0481382109918,3.1,57.1,5.42347236174679,40.092796223023,0.879517142536145,36.1910375652522,10.2665399023147,5.09374516609514,38.97639391672,53.3233235281853,60.51090672810872,67.527,2.484,97.6258010864258,62.7031938906288,6.65505567963701,0.20991,35.00813289,6.14653833234923,50.3986045245,22.9455982553559,1.9394199848175,7.49811626276927,-1.44315774648766,54.8817155926531,26.2060570157536,218.83202265439,43.1,69.88,77000000.0,0.451680313857429,5.26056268475042,2009
Bangladesh,866.45815762135,28.968,24.7270013036793,17.5956955421992,45.9643898010254,8.84245014190674,0.9984405660693,56.829838812042,2.5,54.3,8.90194489465154,42.6209140325589,1.44965791615761,34.0421917464818,9.75655233462346,5.17827687820651,37.3818777967604,52.932121684056,60.51090672810872,67.047,2.577,95.1065979003906,63.3356883947747,6.50584958273277,0.0334506,30.69701239,4.66174256991608,52.3546094893,23.6567567728032,2.0545699596405,7.65602988282474,-0.829757737693226,51.1876270713566,26.2022714003991,200.690066619094,45.2,68.29,163843750.0,0.6182038787193795,6.49671240098256,2008
Bangladesh,825.508229964537,28.237,24.5005410079343,17.8065367823955,47.9007186889648,7.86712980270386,1.07564253185597,57.5403800304711,1.8,46.5,9.10698496905383,39.9423826531735,0.817756922700044,32.0428330535648,8.24291009689063,5.35945621469055,36.3174625843949,52.8840217973928,46.6636009216309,66.458,2.666,98.1889877319336,63.9122837398699,6.3719037093988,0.0295359,23.84554569,5.7891114361705,43.9884156208,25.4056316582734,2.20221996307373,6.91726266856821,-1.14512894423187,50.2819117580457,26.1784970672047,198.744127936079,47.2,67.11,163843750.0,0.6182038787193795,6.3257434858051,2007
Bangladesh,779.419570444998,27.517,24.0953205119221,18.0340165108542,47.0837898254395,7.24171018600464,1.16116775095831,58.2692078165913,1.0,50.5,6.76526117054757,38.1119244325921,0.635863899506714,31.1657016961389,7.55966261801311,5.44007855680545,35.341190936004,52.7445971888149,60.51090672810872,66.048,2.755,99.9751205444336,64.524039740509,6.25483192391766,2.84537659375,13.41312473,5.46699380857848,42.3224155639,26.5815575749539,2.13128995895386,7.04330405780911,-1.2407973930308,50.4759985553139,26.1441457474299,189.596089771556,48.6,65.94,163843750.0,0.6182038787193795,5.83865016116516,2006
Bangladesh,739.203718353409,26.809,23.2998442190711,18.5710395455964,46.6028785705566,6.29582977294922,1.2606651625389,59.0378267163075,0.242,44.2,7.04661816222039,34.396934864465,1.17065167448603,29.3438304968623,6.21006213483216,5.18022516467283,32.3594072568242,52.8799568974096,60.51090672810872,65.509,2.846,99.953498840332,65.1910648619481,6.15323814564069,2.84537659375,6.386938172,5.76426911966502,33.2869760568,25.5020847255283,1.7326391206847298,7.13567003946154,-0.970706746206338,47.4210681471904,25.8304355145863,169.186794867009,50.6,64.04,82000000.0,0.777142605494865,5.55794329275611,2005
Bangladesh,702.656357081873,26.114,22.7797200060528,19.2669595662859,47.8641395568848,5.72883987426758,1.36154790691024,59.8090920870314,0.199,40.6,7.5875363850469,26.8582341492431,0.689472335587341,27.9134032883374,5.50437314918371,5.17438311061483,31.5774006681766,52.8058618188649,60.51090672810872,64.912,2.94,81.39587211830789,65.873127608104,6.06403552107259,2.84537659375,2.004154126,5.58235561080853,30.030075402,29.0231053050116,1.94014000892639,7.04644841818552,-0.631122062959504,45.6229943594212,24.9918339447004,158.478288215597,52.0,62.76,76000000.0,0.833568741419301,4.74690241203543,2004
Bangladesh,676.826252046427,25.429,22.4741487860882,19.8127182977042,51.257080078125,6.19688987731934,1.45530530506763,60.5290981442221,0.164,40.5,5.66870773441476,27.657884900158,0.445960783298092,26.0386276764885,5.30538820275249,5.12829861719188,30.164596698861,52.4004924204798,60.51090672810872,64.288,3.029,81.39587211830789,66.5127410987043,5.98364295448218,2.84537659375,0.999976513,5.88445428042499,25.6064518438,29.4649511156153,2.06939005851746,6.96521390375867,-0.104760791937993,43.9885771769768,24.6791888612834,123.721051102441,52.6,62.48,59000000.0,0.744172998256424,4.70573002956055,2003
