,gdp_per_capita,urbanization_rate,industry_share,agriculture_share,secondary_gross_enrollment_rate,tertiary_gross_enrollment_rate,population_growth,youth_dependency_ratio,internet_penetration,electricity_access,inflation_rate,trade_percent_gdp,fdi_inflow,credit_to_private_sector,remittances_percent_gdp,govt_consumption_percent_gdp,gross_savings_percent_gdp,services_share,adult_literacy_rate,life_expectancy_at_birth,fertility_rate,primary_gross_enrollment_rate,age_dependency_ratio,old_age_dependency_ratio,fixed_broadband_subscriptions_per_100,mobile_cellular_subscriptions_per_100,real_interest_rate,export_volume_index,external_debt_percent_gni,govt_expenditure_on_education_percent_gdp,tax_revenue_percent_gdp,fiscal_balance_percent_gdp,broad_money_percent_gdp,gross_capital_formation_percent_gdp,electricity_consumption_kwh_per_capita,renewable_energy_consumption_percent,fossil_fuel_energy_consumption_percent,international_tourism_receipts_usd,international_tourism_receipts_percent,trade_in_services_percent_gdp,year
count,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0
mean,873.0739609696002,27.252679245283016,23.051016809605343,26.18694737489614,39.035314355506195,9.102549840503187,2.096059350990509,68.83768599177198,8.97951634711555,69.58164475509325,7.667097747732931,28.21189288364176,0.6221537386501055,25.329416286194615,3.981363771227979,8.969039518105644,22.878001292529294,44.743859876362,57.61474668714736,60.370119496855345,4.431452830188679,80.13837242734355,75.69922141432924,6.861535422557259,1.4726348518560606,22.95195586820408,4.4932371120716335,51.93813476484444,28.444744578186594,2.5993937290118754,9.821018416473645,-3.058589243735409,43.672602919957335,21.883879076038276,399.97265685306195,46.565625,64.97383838383837,5249294070.512819,3.2267793881537425,5.948084053877164,1996.0
std,431.3482363844054,7.175992401108648,4.764363213828205,9.858567661051794,17.860255803546963,7.1161816000413625,0.7465017994539617,13.869664249703083,8.475159297515267,20.019511431201458,4.362215815631351,10.892784623590641,0.7059071132821918,11.906038443958012,2.421468877717475,3.038902296742429,8.553115156597594,6.805013909216499,6.653701924259472,7.022341246827581,1.5679931529902225,18.730528746863435,13.186039281898484,0.8742539837972317,1.2996499120239313,32.85584491251065,4.332318209589854,38.12509835674914,12.408806279983349,0.9682918353848257,2.0456742421615086,1.8607596224460583,16.776607442708944,7.490677871880512,201.12740641619166,8.33630532529031,7.382470256980006,7445260116.265328,1.9402653963853114,2.7551984639180174,15.34539059972824
min,356.615069643548,7.593,6.06410210550716,11.2176010351595,15.09202003479,1.84702003002167,0.790200540609834,37.5851126989677,0.0,9.90541934967041,-7.63394763392882,7.66176933794548,-0.0626622414508386,1.91711979022559,0.185440982243288,3.16378396543982,-0.840906615995765,26.4348135606942,26.0,26.522,1.994,45.9906387329102,47.4637059570602,5.40254485552602,0.00463866,0.0,-13.6421356407858,3.3193886872,6.1398965778989,0.937600016593933,6.61116027143823,-6.73327809606014,8.35372754425218,4.69769640474618,46.0076053904037,25.0,44.72,59000000.0,0.359391213996615,1.92441591050455,1970.0
25%,489.022266355705,23.15,20.293603800495752,19.70235813806465,24.41485435179018,5.0132999420166,1.524698900645555,59.1285544292775,4.165,51.154387664794896,5.46849904433837,19.414743877154002,0.0473948896245589,16.617984698390103,2.339976492201815,5.34848848560358,15.884422425054462,38.7851182208194,52.66666666666666,55.2285,3.1239999999999997,65.58966445922849,65.75624450613884,6.36067120754429,0.673809245,0.0,2.7924294569074086,18.021259271349997,19.497734221686848,1.8307999968528752,7.596869860825879,-5.23734118675006,34.2263193585475,16.35924451319255,234.30343852077146,42.1,59.4439393939394,163843750.0,0.6182038787193795,4.0710120223101,1983.0
50%,775.040043703995,28.066,22.3920079066295,23.7075945934908,37.7495130334641,6.06103992462158,2.16777668657973,69.796619711279,8.091425464285715,73.62335342407228,6.35736412278234,27.9180418977622,0.407859894856918,23.6777468578745,3.27581644116737,10.1640569957871,21.9940038300746,45.0337495625601,59.66666666666666,60.429,4.311,81.39587211830789,76.5377223359011,6.65779239138689,0.8987187168181818,0.215955426,4.51556820489702,44.10968252033333,25.4056316582734,2.201896989599187,9.6974287568279,-2.79027832021128,43.545308881586,19.3974052458304,391.40825368709847,48.6,65.6730303030303,795538461.5384616,4.187726376739467,5.35936681840566,1996.0
75%,1157.254583750765,32.78,26.49389699525555,30.80383664914105,50.5661586555867,11.77401971817015,2.5782791150679,82.31397025861429,9.859875222222222,84.26901401367188,9.245228415453589,34.55681061903865,0.852897330638156,29.0583582824699,5.198453745630744,11.00267027438375,29.190941346226047,51.2546554609255,60.51090672810872,65.67099999999999,5.8325,93.8741798400879,88.47006651690094,7.10627002509547,2.84537659375,46.556653445,5.93657409136935,76.9334819636,35.84976886175945,3.863645076751709,12.16875663176716,-1.3950463597819212,51.242840196949246,26.378121729201652,525.3924273005191,48.928125,69.80454545454546,14788500000.0,4.87440790900238,6.936483283591951,2009.0
max,2086.07688562779,39.711,33.9200804971876,61.9541391335466,81.1778611796872,32.6703071594238,4.17810201190455,86.7365570813029,55.9,99.6,28.598734077509,55.7937217287511,3.62052323540171,54.5052902460387,10.5915144036117,16.7849092881409,40.5995794494189,56.2192386662406,76.0,74.265,6.839,119.512832641602,93.3943494726898,9.87859325809253,7.1702,108.9094426,33.7950583515742,149.420514552,72.4354099715352,4.63514137268066,13.7080461711346,0.184573642806882,87.6766726830318,41.9507982267334,1074.84358827742,73.1,83.13,31661000000.0,6.19493257605034,14.4988763260928,2022.0
